time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2023-08-26,18.7,13.8,22.4,,,247.0,7.5,,1007.0,,krasnoyarsk
2023-08-27,17.3,9.2,24.4,,,56.0,6.3,,1011.3,,krasnoyarsk
2023-08-28,21.4,13.5,30.0,,,77.0,5.4,,1006.5,,krasnoyarsk
2023-08-29,20.4,15.2,25.9,,,264.0,7.7,,1009.5,,krasnoyarsk
2023-08-30,18.5,14.6,23.0,,,352.0,5.9,,1016.6,,krasnoyarsk
2023-08-31,18.6,15.9,22.6,,,44.0,5.1,,1011.2,,krasnoyarsk
2023-09-01,18.5,14.8,22.5,,,269.0,5.6,,1011.5,,krasnoyarsk
2023-09-02,16.8,13.0,21.0,,,214.0,4.9,,1015.1,,krasnoyarsk
2023-09-03,15.8,9.8,21.9,,,118.0,3.5,,1013.4,,krasnoyarsk
2023-09-04,17.2,9.7,24.5,,,116.0,4.3,,1009.7,,krasnoyarsk
2023-09-05,15.7,12.9,18.6,,,276.0,4.3,,1008.7,,krasnoyarsk
2023-09-06,14.5,10.9,18.3,,,235.0,7.7,,1013.6,,krasnoyarsk
2023-09-07,11.6,7.1,16.0,,,200.0,4.4,,1012.4,,krasnoyarsk
2023-09-08,11.5,8.8,14.8,,,236.0,10.3,,1014.6,,krasnoyarsk
2023-09-09,10.5,7.1,14.2,,,255.0,7.0,,1015.6,,krasnoyarsk
2023-09-10,10.3,5.2,15.5,,,120.0,3.4,,1019.4,,krasnoyarsk
2023-09-11,11.1,4.1,17.6,,,60.0,6.2,,1015.5,,krasnoyarsk
2023-09-12,10.4,3.4,16.3,,,42.0,6.7,,1010.2,,krasnoyarsk
2023-09-13,12.3,9.3,15.8,,,281.0,3.8,,1012.4,,krasnoyarsk
2023-09-14,12.3,7.7,18.9,,,71.0,2.9,,1016.9,,krasnoyarsk
2023-09-15,13.1,6.8,20.2,,,22.0,3.8,,1017.6,,krasnoyarsk
2023-09-16,12.8,5.2,20.7,,,356.0,4.0,,1018.2,,krasnoyarsk
2023-09-17,13.2,6.1,21.2,,,293.0,3.4,,1019.3,,krasnoyarsk
2023-09-18,12.8,5.4,20.8,,,237.0,2.9,,1020.1,,krasnoyarsk
2023-09-19,12.8,5.4,20.6,,,259.0,2.6,,1018.9,,krasnoyarsk
2023-09-20,12.9,5.5,20.6,,,80.0,2.4,,1017.1,,krasnoyarsk
2023-09-21,13.7,8.5,20.4,,,242.0,4.5,,1017.7,,krasnoyarsk
2023-09-22,13.3,6.0,21.1,,,216.0,8.1,,1014.6,,krasnoyarsk
2023-09-23,12.7,8.3,18.1,,,212.0,13.6,,1008.3,,krasnoyarsk
2023-09-24,6.3,3.3,9.5,,,235.0,11.5,,1018.2,,krasnoyarsk
2023-09-25,4.6,1.4,9.0,,,122.0,4.5,,1022.3,,krasnoyarsk
2023-09-26,5.4,1.5,10.7,,,334.0,4.5,,1025.0,,krasnoyarsk
2023-09-27,7.3,2.0,13.1,,,205.0,2.7,,1024.2,,krasnoyarsk
2023-09-28,8.5,3.3,15.4,,,187.0,4.1,,1020.1,,krasnoyarsk
2023-09-29,9.2,5.9,12.6,,,215.0,8.3,,1015.4,,krasnoyarsk
2023-09-30,9.0,4.4,14.7,,,221.0,8.1,,1015.1,,krasnoyarsk
2023-10-01,2.4,-0.8,7.8,,,278.0,10.2,,1021.6,,krasnoyarsk
2023-10-02,2.5,-2.7,7.3,,,229.0,7.6,,1024.0,,krasnoyarsk
2023-10-03,7.3,4.3,12.8,,,229.0,9.4,,1023.9,,krasnoyarsk
2023-10-04,7.5,2.0,14.7,,,231.0,6.9,,1023.9,,krasnoyarsk
2023-10-05,8.6,3.9,15.1,,,220.0,9.3,,1022.8,,krasnoyarsk
2023-10-06,9.9,5.8,16.4,,,221.0,11.1,,1021.8,,krasnoyarsk
2023-10-07,9.7,4.0,18.1,,,208.0,3.3,,1020.6,,krasnoyarsk
2023-10-08,8.9,2.1,17.8,,,181.0,2.8,,1020.1,,krasnoyarsk
2023-10-09,12.1,6.7,18.6,,,204.0,7.6,,1021.3,,krasnoyarsk
2023-10-10,13.9,10.1,20.9,,,189.0,8.3,,1023.4,,krasnoyarsk
2023-10-11,14.1,7.0,22.4,,,186.0,9.1,,1017.2,,krasnoyarsk
2023-10-12,11.2,7.6,13.6,,,263.0,13.0,,1018.3,,krasnoyarsk
2023-10-13,5.6,3.9,7.4,,,295.0,10.0,,1018.1,,krasnoyarsk
2023-10-14,6.6,3.4,12.2,,,207.0,9.6,,1021.1,,krasnoyarsk
2023-10-15,6.3,2.5,9.5,,,221.0,8.1,,1013.2,,krasnoyarsk
2023-10-16,6.5,5.7,7.7,,,240.0,13.6,,1017.8,,krasnoyarsk
2023-10-17,7.2,5.9,9.2,,,233.0,17.4,,1020.1,,krasnoyarsk
2023-10-18,8.9,6.8,12.4,,,212.0,6.6,,1026.9,,krasnoyarsk
2023-10-19,8.8,3.6,16.0,,,156.0,5.6,,1023.4,,krasnoyarsk
2023-10-20,7.7,2.5,12.3,,,239.0,11.4,,1024.4,,krasnoyarsk
2023-10-21,5.5,-1.8,12.8,,,134.0,7.8,,1012.5,,krasnoyarsk
2023-10-22,5.2,3.4,8.3,,,217.0,16.9,,1012.3,,krasnoyarsk
2023-10-23,6.8,3.4,11.7,,,174.0,15.2,,996.8,,krasnoyarsk
2023-10-24,0.7,-1.2,2.4,,,230.0,19.3,,1016.7,,krasnoyarsk
2023-10-25,3.7,1.0,6.5,,,200.0,16.1,,1013.4,,krasnoyarsk
